"key"	"value"	"number"
"total population"	"65.24 years"	27
"male"	"63.21 years"	27
"female"	"67.32 years (2021 est.)"	27
"region"	"Brazil"	28
"total population"	"74.98 years"	28
"male"	"71.49 years"	28
"female"	"78.65 years (2021 est.)"	28
"region"	"British Virgin Islands"	29
"total population"	"79.44 years"	29
"male"	"77.94 years"	29
"female"	"81.03 years (2021 est.)"	29
"region"	"Brunei"	30
"total population"	"78.14 years"	30
"male"	"75.75 years"	30
"female"	"80.63 years (2021 est.)"	30
"region"	"Bulgaria"	31
"total population"	"75.3 years"	31
"male"	"72.08 years"	31
"female"	"78.73 years (2021 est.)"	31
"region"	"Burkina Faso"	32
"total population"	"63.06 years"	32
"male"	"61.28 years"	32
"female"	"64.89 years (2021 est.)"	32
"region"	"Burma"	33
"total population"	"69.62 years"	33
"male"	"67.96 years"	33
"female"	"71.39 years (2021 est.)"	33
"region"	"Burundi"	34
"total population"	"67.07 years"	34
"male"	"64.98 years"	34
"female"	"69.22 years (2021 est.)"	34
"region"	"Cabo Verde"	35
"total population"	"73.47 years"	35
"male"	"71.12 years"	35
"female"	"75.89 years (2021 est.)"	35
"region"	"Cambodia"	36
"total population"	"66.27 years"	36
"male"	"63.7 years"	36
"female"	"68.95 years (2021 est.)"	36
"region"	"Cameroon"	37
"total population"	"62.79 years"	37
"male"	"61.07 years"	37
"female"	"64.57 years (2021 est.)"	37
"region"	"Canada"	38
"total population"	"83.62 years"	38
"male"	"81.32 years"	38
"female"	"86.03 years (2021 est.)"	38
"region"	"Cayman Islands"	39
"total population"	"81.84 years"	39
"male"	"79.12 years"	39
"female"	"84.59 years (2021 est.)"	39
"region"	"Central African Republic"	40
"total population"	"55.07 years"	40
"male"	"53.74 years"	40
"female"	"56.44 years (2021 est.)"	40
"region"	"Chad"	41
"total population"	"58.73 years"	41
"male"	"56.92 years"	41
"female"	"60.6 years (2021 est.)"	41
"region"	"Chile"	42
"total population"	"79.57 years"	42
"male"	"76.55 years"	42
"female"	"82.71 years (2021 est.)"	42
"region"	"China"	43
"total population"	"76.31 years"	43
"male"	"74.23 years"	43
"female"	"78.62 years (2021 est.)"	43
"region"	"Christmas Island"	44
"total population"	"NA (2017 est.)"	44
"male"	"NA"	44
"female"	"NA"	44
"region"	"Cocos (Keeling) Islands"	45
"total population"	"NA"	45
"male"	"NA"	45
"female"	"NA (2021 est.)"	45
"region"	"Colombia"	46
"total population"	"76.91 years"	46
"male"	"73.77 years"	46
"female"	"80.23 years (2021 est.)"	46
"region"	"Comoros"	47
"total population"	"66.9 years"	47
"male"	"64.65 years"	47
"female"	"69.21 years (2021 est.)"	47
"region"	"Congo, Democratic Republic of the"	48
"total population"	"61.43 years"	48
"male"	"59.66 years"	48
"female"	"63.25 years (2021 est.)"	48
"region"	"Congo, Republic of the"	49
"total population"	"61.69 years"	49
"male"	"60.27 years"	49
"female"	"63.16 years (2021 est.)"	49
"region"	"Cook Islands"	50
"total population"	"76.89 years"	50
"male"	"74.05 years"	50
"female"	"79.88 years (2021 est.)"	50
"region"	"Costa Rica"	51
"total population"	"79.41 years"	51
"male"	"76.75 years"	51
"female"	"82.22 years (2021 est.)"	51
"region"	"Cote d'Ivoire"	52
"total population"	"61.8 years"	52
"male"	"59.62 years"	52
"female"	"64.05 years (2021 est.)"	52
"region"	"Croatia"	53
"total population"	"76.97 years"	53
"male"	"73.83 years"	53
"female"	"80.3 years (2021 est.)"	53
"region"	"Cuba"	54
"total population"	"79.41 years"	54
"male"	"77.04 years"	54
"female"	"81.92 years (2021 est.)"	54
"region"	"Curacao"	55
"total population"	"79.19 years"	55
"male"	"76.85 years"	55
"female"	"81.65 years (2021 est.)"	55
"region"	"Cyprus"	56
"total population"	"79.51 years"	56
"male"	"76.7 years"	56
"female"	"82.46 years (2021 est.)"	56
"region"	"Czechia"	57
"total population"	"79.5 years"	57
"male"	"76.55 years"	57
"female"	"82.61 years (2021 est.)"	57
"region"	"Denmark"	58
"total population"	"81.45 years"	58
"male"	"79.52 years"	58
"female"	"83.51 years (2021 est.)"	58
"region"	"Djibouti"	59
"total population"	"65 years"	59
"male"	"62.4 years"	59
"female"	"67.67 years (2021 est.)"	59
"region"	"Dominica"	60
"total population"	"77.96 years"	60
"male"	"74.99 years"	60
"female"	"81.09 years (2021 est.)"	60
"region"	"Dominican Republic"	61
"total population"	"72.28 years"	61
"male"	"70.57 years"	61
"female"	"74.06 years (2021 est.)"	61
"region"	"Ecuador"	62
"total population"	"77.76 years"	62
"male"	"74.8 years"	62
"female"	"80.87 years (2021 est.)"	62
"region"	"Egypt"	63
"total population"	"74.01 years"	63
"male"	"72.54 years"	63
"female"	"75.57 years (2021 est.)"	63
"region"	"El Salvador"	64
"total population"	"75.11 years"	64
"male"	"71.6 years"	64
"female"	"78.79 years (2021 est.)"	64
"region"	"Equatorial Guinea"	65
"total population"	"66.35 years"	65
"male"	"64.96 years"	65
"female"	"67.78 years (2021 est.)"	65
"region"	"Eritrea"	66
"total population"	"66.51 years"	66
"male"	"63.92 years"	66
"female"	"69.18 years (2021 est.)"	66
"region"	"Estonia"	67
"total population"	"77.63 years"	67
"male"	"72.98 years"	67
"female"	"82.51 years (2021 est.)"	67
"region"	"Eswatini"	68
"total population"	"59.13 years"	68
"male"	"57.05 years"	68
"female"	"61.28 years (2021 est.)"	68
"region"	"Ethiopia"	69
"total population"	"67.9 years"	69
"male"	"65.79 years"	69
"female"	"70.06 years (2021 est.)"	69
"region"	"European Union"	70
"total population"	"77.63 years"	70
"male"	"72.98 years"	70
"female"	"82.51 years (2021 est.)"	70
"region"	"Falkland Islands (Islas Malvinas)"	71
"total population"	"77.9 years"	71
"male"	"75.6 years"	71
"female"	"79.6 years (2017 est.)"	71
"region"	"Faroe Islands"	72
"total population"	"81.04 years"	72
"male"	"78.5 years"	72
"female"	"83.77 years (2021 est.)"	72
"region"	"Fiji"	73
"total population"	"74 years"	73
"male"	"71.32 years"	73
"female"	"76.82 years (2021 est.)"	73
"region"	"Finland"	74
"total population"	"81.55 years"	74
"male"	"78.63 years"	74
"female"	"84.6 years (2021 est.)"	74
"region"	"France"	75
"total population"	"82.39 years"	75
"male"	"79.31 years"	75
"female"	"85.61 years (2021 est.)"	75
"region"	"French Polynesia"	76
"total population"	"78.19 years"	76
"male"	"75.86 years"	76
"female"	"80.63 years (2021 est.)"	76
"region"	"Gabon"	77
"total population"	"69.37 years"	77
"male"	"67.66 years"	77
"female"	"71.14 years (2021 est.)"	77
"region"	"Gambia, The"	78
"total population"	"66.15 years"	78
"male"	"63.8 years"	78
"female"	"68.57 years (2021 est.)"	78
"region"	"Gaza Strip"	79
"total population"	"75.14 years"	79
"male"	"73.38 years"	79
"female"	"77 years (2021 est.)"	79
"region"	"Georgia"	80
"total population"	"77.25 years"	80
"male"	"73.18 years"	80
"female"	"81.52 years (2021 est.)"	80
"region"	"Germany"	81
"total population"	"81.3 years"	81
"male"	"78.93 years"	81
"female"	"83.8 years (2021 est.)"	81
"region"	"Ghana"	82
"total population"	"69.01 years"	82
"male"	"67.33 years"	82
"female"	"70.74 years (2021 est.)"	82
"region"	"Gibraltar"	83
"total population"	"80.2 years"	83
"male"	"77.34 years"	83
"female"	"83.2 years (2021 est.)"	83
"region"	"Greece"	84
"total population"	"81.28 years"	84
"male"	"78.73 years"	84
"female"	"84 years (2021 est.)"	84
"region"	"Greenland"	85
"total population"	"73.71 years"	85
"male"	"70.99 years"	85
"female"	"76.56 years (2021 est.)"	85
"region"	"Grenada"	86
"total population"	"75.48 years"	86
"male"	"72.86 years"	86
"female"	"78.36 years (2021 est.)"	86
"region"	"Guam"	87
"total population"	"77.25 years"	87
"male"	"74.81 years"	87
"female"	"79.85 years (2021 est.)"	87
"region"	"Guatemala"	88
"total population"	"72.63 years"	88
"male"	"70.59 years"	88
"female"	"74.77 years (2021 est.)"	88
"region"	"Guernsey"	89
"total population"	"83.03 years"	89
"male"	"80.31 years"	89
"female"	"85.89 years (2021 est.)"	89
"region"	"Guinea"	90
"total population"	"63.53 years"	90
"male"	"61.7 years"	90
"female"	"65.42 years (2021 est.)"	90
"region"	"Guinea-Bissau"	91
"total population"	"63.26 years"	91
"male"	"61.04 years"	91
"female"	"65.55 years (2021 est.)"	91
"region"	"Guyana"	92
"total population"	"71.59 years"	92
"male"	"69.74 years"	92
"female"	"73.53 years (2021 est.)"	92
"region"	"Haiti"	93
"total population"	"65.61 years"	93
"male"	"62.94 years"	93
"female"	"68.31 years (2021 est.)"	93
"region"	"Honduras"	94
"total population"	"74.9 years"	94
"male"	"71.34 years"	94
"female"	"78.58 years (2021 est.)"	94
"region"	"Hong Kong"	95
"total population"	"83.41 years"	95
"male"	"80.71 years"	95
"female"	"86.28 years (2021 est.)"	95
"region"	"Hungary"	96
"total population"	"76.95 years"	96
"male"	"73.27 years"	96
"female"	"80.83 years (2021 est.)"	96
"region"	"Iceland"	97
"total population"	"83.45 years"	97
"male"	"81.21 years"	97
"female"	"85.79 years (2021 est.)"	97
"region"	"India"	98
"total population"	"70.03 years"	98
"male"	"68.71 years"	98
"female"	"71.49 years (2021 est.)"	98
"region"	"Indonesia"	99
"total population"	"72.82 years"	99
"male"	"70.62 years"	99
"female"	"75.12 years (2021 est.)"	99
"region"	"Iran"	100
"total population"	"75.06 years"	100
"male"	"73.71 years"	100
"female"	"76.48 years (2021 est.)"	100
"region"	"Iraq"	101
"total population"	"72.9 years"	101
"male"	"71.01 years"	101
"female"	"74.89 years (2021 est.)"	101
"region"	"Ireland"	102
"total population"	"81.45 years"	102
"male"	"79.12 years"	102
"female"	"83.9 years (2021 est.)"	102
"region"	"Isle of Man"	103
"total population"	"81.84 years"	103
"male"	"80.01 years"	103
"female"	"83.8 years (2021 est.)"	103
"region"	"Israel"	104
"total population"	"83.15 years"	104
"male"	"81.25 years"	104
"female"	"85.15 years (2021 est.)"	104
"region"	"Italy"	105
"total population"	"82.67 years"	105
"male"	"80.01 years"	105
"female"	"85.49 years (2021 est.)"	105
"region"	"Jamaica"	106
"total population"	"75.49 years"	106
"male"	"73.71 years"	106
"female"	"77.35 years (2021 est.)"	106
"region"	"Japan"	107
"total population"	"84.65 years"	107
"male"	"81.73 years"	107
"female"	"87.74 years (2021 est.)"	107
"region"	"Jersey"	108
"total population"	"82.43 years"	108
"male"	"79.92 years"	108
"female"	"85.09 years (2021 est.)"	108
"region"	"Jordan"	109
"total population"	"75.75 years"	109
"male"	"74.25 years"	109
"female"	"77.35 years (2021 est.)"	109
"region"	"Kazakhstan"	110
"total population"	"72.25 years"	110
"male"	"67.12 years"	110
"female"	"77.06 years (2021 est.)"	110
"region"	"Kenya"	111
"total population"	"69.32 years"	111
"male"	"67.65 years"	111
"female"	"71.03 years (2021 est.)"	111
"region"	"Kiribati"	112
"total population"	"67.59 years"	112
"male"	"65 years"	112
"female"	"70.3 years (2021 est.)"	112
"region"	"Korea, North"	113
"total population"	"71.65 years"	113
"male"	"67.79 years"	113
"female"	"75.74 years (2021 est.)"	113
"region"	"Korea, South"	114
"total population"	"82.78 years"	114
"male"	"79.66 years"	114
"female"	"86.06 years (2021 est.)"	114
"region"	"Kosovo"	115
"total population"	"72.99 years"	115
"male"	"70.8 years"	115
"female"	"75.35 years (2021 est.)"	115
"region"	"Kuwait"	116
"total population"	"78.9 years"	116
"male"	"77.44 years"	116
"female"	"80.43 years (2021 est.)"	116
"region"	"Kyrgyzstan"	117
"total population"	"72.07 years"	117
"male"	"67.97 years"	117
"female"	"76.45 years (2021 est.)"	117
"region"	"Laos"	118
"total population"	"66 years"	118
"male"	"63.83 years"	118
"female"	"68.26 years (2021 est.)"	118
"region"	"Latvia"	119
"total population"	"75.65 years"	119
"male"	"71.19 years"	119
"female"	"80.33 years (2021 est.)"	119
"region"	"Lebanon"	120
"total population"	"78.53 years"	120
"male"	"77.12 years"	120
"female"	"80 years (2021 est.)"	120
"region"	"Lesotho"	121
"total population"	"58.9 years"	121
"male"	"56.82 years"	121
"female"	"61.04 years (2021 est.)"	121
"region"	"Liberia"	122
"total population"	"65.1 years"	122
"male"	"62.86 years"	122
"female"	"67.4 years (2021 est.)"	122
"region"	"Libya"	123
"total population"	"76.93 years"	123
"male"	"74.68 years"	123
"female"	"79.29 years (2021 est.)"	123
"region"	"Liechtenstein"	124
"total population"	"82.36 years"	124
"male"	"80.11 years"	124
"female"	"85.19 years (2021 est.)"	124
"region"	"Lithuania"	125
"total population"	"75.61 years"	125
"male"	"70.23 years"	125
"female"	"81.29 years (2021 est.)"	125
"region"	"Luxembourg"	126
"total population"	"82.78 years"	126
"male"	"80.31 years"	126
"female"	"85.39 years (2021 est.)"	126
"region"	"Macau"	127
"total population"	"84.81 years"	127
"male"	"81.89 years"	127
"female"	"87.86 years (2021 est.)"	127
"region"	"Madagascar"	128
"total population"	"67.86 years"	128
"male"	"66.54 years"	128
"female"	"69.22 years (2021 est.)"	128
"region"	"Malawi"	129
"total population"	"72.16 years"	129
"male"	"69.04 years"	129
"female"	"75.33 years (2021 est.)"	129
"region"	"Malaysia"	130
"total population"	"75.87 years"	130
"male"	"74.24 years"	130
"female"	"77.62 years (2021 est.)"	130
"region"	"Maldives"	131
"total population"	"76.69 years"	131
"male"	"74.31 years"	131
"female"	"79.18 years (2021 est.)"	131
"region"	"Mali"	132
"total population"	"62.01 years"	132
"male"	"59.81 years"	132
"female"	"64.28 years (2021 est.)"	132
"region"	"Malta"	133
"total population"	"83 years"	133
"male"	"80.91 years"	133
"female"	"85.19 years (2021 est.)"	133
"region"	"Marshall Islands"	134
"total population"	"74.38 years"	134
"male"	"72.12 years"	134
"female"	"76.76 years (2021 est.)"	134
"region"	"Mauritania"	135
"total population"	"64.86 years"	135
"male"	"62.43 years"	135
"female"	"67.37 years (2021 est.)"	135
"region"	"Mauritius"	136
"total population"	"76.7 years"	136
"male"	"73.29 years"	136
"female"	"80.29 years (2021 est.)"	136
"region"	"Mexico"	137
"total population"	"76.94 years"	137
"male"	"74.15 years"	137
"female"	"79.87 years (2021 est.)"	137
"region"	"Micronesia, Federated States of"	138
"total population"	"74.17 years"	138
"male"	"72.06 years"	138
"female"	"76.4 years (2021 est.)"	138
"region"	"Moldova"	139
"total population"	"72.16 years"	139
"male"	"68.3 years"	139
"female"	"76.26 years (2021 est.)"	139
"region"	"Monaco"	140
"total population"	"89.4 years"	140
"male"	"85.55 years"	140
"female"	"93.4 years (2021 est.)"	140
"region"	"Mongolia"	141
"total population"	"71.08 years"	141
"male"	"66.88 years"	141
"female"	"75.49 years (2021 est.)"	141
"region"	"Montenegro"	142
"total population"	"77.51 years"	142
"male"	"75.06 years"	142
"female"	"80.04 years (2021 est.)"	142
"region"	"Montserrat"	143
"total population"	"75.49 years"	143
"male"	"76.52 years"	143
"female"	"74.41 years (2021 est.)"	143
"region"	"Morocco (not include data from the former Western Sahara)"	144
"total population"	"73.56 years"	144
"male"	"71.87 years"	144
"female"	"75.34 years (2021 est.)"	144
"region"	"Mozambique"	145
"total population"	"56.49 years"	145
"male"	"55.09 years"	145
"female"	"57.94 years (2021 est.)"	145
"region"	"Namibia"	146
"total population"	"65.87 years"	146
"male"	"63.9 years"	146
"female"	"67.9 years (2021 est.)"	146
"region"	"Nauru"	147
"total population"	"67.62 years"	147
"male"	"64.06 years"	147
"female"	"71.3 years (2021 est.)"	147
"region"	"Nepal"	148
"total population"	"72.12 years"	148
"male"	"71.38 years"	148
"female"	"72.9 years (2021 est.)"	148
"region"	"Netherlands"	149
"total population"	"81.95 years"	149
"male"	"79.72 years"	149
"female"	"84.3 years (2021 est.)"	149
"region"	"New Caledonia"	150
"total population"	"78.59 years"	150
"male"	"74.66 years"	150
"female"	"82.71 years (2021 est.)"	150
"region"	"New Zealand"	151
"total population"	"82.33 years"	151
"male"	"80.57 years"	151
"female"	"84.19 years (2021 est.)"	151
"region"	"Nicaragua"	152
"total population"	"74.51 years"	152
"male"	"72.28 years"	152
"female"	"76.86 years (2021 est.)"	152
"region"	"Niger"	153
"total population"	"59.7 years"	153
"male"	"58.19 years"	153
"female"	"61.26 years (2021 est.)"	153
"region"	"Nigeria"	154
"total population"	"60.87 years"	154
"male"	"59.07 years"	154
"female"	"62.78 years (2021 est.)"	154
"region"	"Niue"	155
"total population"	"NA"	155
"male"	"NA"	155
"female"	"NA (2021 est.)"	155
"region"	"Norfolk Island"	156
"total population"	"NA (2017 est.)"	156
"male"	"NA"	156
"female"	"NA"	156
"region"	"North Macedonia"	157
"total population"	"76.59 years"	157
"male"	"74.47 years"	157
"female"	"78.84 years (2021 est.)"	157
"region"	"Northern Mariana Islands"	158
"total population"	"76.33 years"	158
"male"	"74.22 years"	158
"female"	"78.79 years (2021 est.)"	158
"region"	"Norway"	159
"total population"	"82.35 years"	159
"male"	"80.21 years"	159
"female"	"84.6 years (2021 est.)"	159
"region"	"Oman"	160
"total population"	"76.64 years"	160
"male"	"74.69 years"	160
"female"	"78.68 years (2021 est.)"	160
"region"	"Pakistan"	161
"total population"	"69.37 years"	161
"male"	"67.34 years"	161
"female"	"71.5 years (2021 est.)"	161
"region"	"Palau"	162
"total population"	"74.38 years"	162
"male"	"71.19 years"	162
"female"	"77.75 years (2021 est.)"	162
"region"	"Panama"	163
"total population"	"79.47 years"	163
"male"	"76.66 years"	163
"female"	"82.41 years (2021 est.)"	163
"region"	"Papua New Guinea"	164
"total population"	"69.86 years"	164
"male"	"67.37 years"	164
"female"	"72.48 years (2021 est.)"	164
"region"	"Paraguay"	165
"total population"	"78.13 years"	165
"male"	"75.46 years"	165
"female"	"80.93 years (2021 est.)"	165
"region"	"Peru"	166
"total population"	"74.96 years"	166
"male"	"72.84 years"	166
"female"	"77.19 years (2021 est.)"	166
"region"	"Philippines"	167
"total population"	"70.32 years"	167
"male"	"66.78 years"	167
"female"	"74.03 years (2021 est.)"	167
"region"	"Pitcairn Islands"	168
"total population"	"NA"	168
"male"	"NA"	168
"female"	"NA (2021 est.)"	168
"region"	"Poland"	169
"total population"	"78.53 years"	169
"male"	"74.76 years"	169
"female"	"82.51 years (2021 est.)"	169
"region"	"Portugal"	170
"total population"	"81.29 years"	170
"male"	"78.14 years"	170
"female"	"84.6 years (2021 est.)"	170
"region"	"Puerto Rico"	171
"total population"	"81.47 years"	171
"male"	"78.23 years"	171
"female"	"84.89 years (2021 est.)"	171
"region"	"Qatar"	172
"total population"	"79.58 years"	172
"male"	"77.47 years"	172
"female"	"81.74 years (2021 est.)"	172
"region"	"Romania"	173
"total population"	"76.3 years"	173
"male"	"72.88 years"	173
"female"	"79.94 years (2021 est.)"	173
"region"	"Russia"	174
"total population"	"72.16 years"	174
"male"	"66.61 years"	174
"female"	"78.05 years (2021 est.)"	174
"region"	"Rwanda"	175
"total population"	"65.48 years"	175
"male"	"63.55 years"	175
"female"	"67.47 years (2021 est.)"	175
"region"	"Saint Barthelemy"	176
"total population"	"80.36 years"	176
"male"	"77.24 years"	176
"female"	"83.6 years (2021 est.)"	176
"region"	"Saint Helena, Ascension, and Tristan da Cunha"	177
"total population"	"80.25 years"	177
"male"	"77.34 years"	177
"female"	"83.31 years (2021 est.)"	177
"region"	"Saint Kitts and Nevis"	178
"total population"	"76.83 years"	178
"male"	"74.37 years"	178
"female"	"79.34 years (2021 est.)"	178
"region"	"Saint Lucia"	179
"total population"	"78.71 years"	179
"male"	"75.96 years"	179
"female"	"81.62 years (2021 est.)"	179
"region"	"Saint Martin"	180
"total population"	"80.36 years"	180
"male"	"77.24 years"	180
"female"	"83.6 years (2021 est.)"	180
"region"	"Saint Pierre and Miquelon"	181
"total population"	"81.2 years"	181
"male"	"78.83 years"	181
"female"	"83.7 years (2021 est.)"	181
"region"	"Saint Vincent and the Grenadines"	182
"total population"	"76.43 years"	182
"male"	"74.37 years"	182
"female"	"78.55 years (2021 est.)"	182
"region"	"Samoa"	183
"total population"	"74.92 years"	183
"male"	"72.01 years"	183
"female"	"77.98 years (2021 est.)"	183
"region"	"San Marino"	184
"total population"	"83.68 years"	184
"male"	"81.1 years"	184
"female"	"86.48 years (2021 est.)"	184
"region"	"Sao Tome and Principe"	185
"total population"	"66.72 years"	185
"male"	"65.14 years"	185
"female"	"68.36 years (2021 est.)"	185
"region"	"Saudi Arabia"	186
"total population"	"76.4 years"	186
"male"	"74.81 years"	186
"female"	"78.07 years (2021 est.)"	186
"region"	"Senegal"	187
"total population"	"63.83 years"	187
"male"	"61.59 years"	187
"female"	"66.14 years (2021 est.)"	187
"region"	"Serbia"	188
"total population"	"76.56 years"	188
"male"	"73.67 years"	188
"female"	"79.64 years (2021 est.)"	188
"region"	"Seychelles"	189
"total population"	"75.84 years"	189
"male"	"71.39 years"	189
"female"	"80.43 years (2021 est.)"	189
"region"	"Sierra Leone"	190
"total population"	"60.19 years"	190
"male"	"57.48 years"	190
"female"	"62.97 years (2021 est.)"	190
"region"	"Singapore"	191
"total population"	"86.19 years"	191
"male"	"83.48 years"	191
"female"	"89.05 years (2021 est.)"	191
"region"	"Sint Maarten"	192
"total population"	"79.03 years"	192
"male"	"76.67 years"	192
"female"	"81.51 years (2021 est.)"	192
"region"	"Slovakia"	193
"total population"	"78.07 years"	193
"male"	"74.56 years"	193
"female"	"81.82 years (2021 est.)"	193
"region"	"Slovenia"	194
"total population"	"81.61 years"	194
"male"	"78.73 years"	194
"female"	"84.6 years (2021 est.)"	194
"region"	"Solomon Islands"	195
"total population"	"76.45 years"	195
"male"	"73.78 years"	195
"female"	"79.25 years (2021 est.)"	195
"region"	"Somalia"	196
"total population"	"55.32 years"	196
"male"	"53.02 years"	196
"female"	"57.7 years (2021 est.)"	196
"region"	"South Africa"	197
"total population"	"65.04 years"	197
"male"	"63.68 years"	197
"female"	"66.42 years (2021 est.)"	197
"region"	"South Sudan"	198
"total population"	"58.6 years"	198
"male"	"56.92 years"	198
"female"	"60.36 years (2021 est.)"	198
"region"	"Spain"	199
"total population"	"82.21 years"	199
"male"	"79.22 years"	199
"female"	"85.39 years (2021 est.)"	199
"region"	"Sri Lanka"	200
"total population"	"77.75 years"	200
"male"	"74.31 years"	200
"female"	"81.33 years (2021 est.)"	200
"region"	"Sudan"	201
"total population"	"66.79 years"	201
"male"	"64.58 years"	201
"female"	"69.11 years (2021 est.)"	201
"region"	"Suriname"	202
"total population"	"73.57 years"	202
"male"	"71.09 years"	202
"female"	"76.16 years (2021 est.)"	202
"region"	"Svalbard"	203
"total population"	"NA"	203
"male"	"NA"	203
"female"	"NA (2021 est.)"	203
"region"	"Sweden"	204
"total population"	"82.6 years"	204
"male"	"80.61 years"	204
"female"	"84.7 years (2021 est.)"	204
"region"	"Switzerland"	205
"total population"	"83.03 years"	205
"male"	"80.71 years"	205
"female"	"85.49 years (2021 est.)"	205
"region"	"Syria"	206
"total population"	"74.01 years"	206
"male"	"72.54 years"	206
"female"	"75.57 years (2021 est.)"	206
"region"	"Taiwan"	207
"total population"	"80.95 years"	207
"male"	"77.93 years"	207
"female"	"84.14 years (2021 est.)"	207
"region"	"Tajikistan"	208
"total population"	"69.06 years"	208
"male"	"65.91 years"	208
"female"	"72.38 years (2021 est.)"	208
"region"	"Tanzania"	209
"total population"	"69.9 years"	209
"male"	"68.12 years"	209
"female"	"71.74 years (2021 est.)"	209
"region"	"Thailand"	210
"total population"	"77.41 years"	210
"male"	"74.39 years"	210
"female"	"80.6 years (2021 est.)"	210
"region"	"Timor-Leste"	211
"total population"	"69.62 years"	211
"male"	"67.94 years"	211
"female"	"71.41 years (2021 est.)"	211
"region"	"Togo"	212
"total population"	"70.99 years"	212
"male"	"68.37 years"	212
"female"	"73.69 years (2021 est.)"	212
"region"	"Tokelau"	213
"total population"	"NA"	213
"male"	"NA"	213
"female"	"NA (2021 est.)"	213
"region"	"Tonga"	214
"total population"	"77.29 years"	214
"male"	"75.63 years"	214
"female"	"78.99 years (2021 est.)"	214
"region"	"Trinidad and Tobago"	215
"total population"	"74.92 years"	215
"male"	"71.83 years"	215
"female"	"78.1 years (2021 est.)"	215
"region"	"Tunisia"	216
"total population"	"76.57 years"	216
"male"	"74.88 years"	216
"female"	"78.36 years (2021 est.)"	216
"region"	"Turkey"	217
"total population"	"75.96 years"	217
"male"	"73.57 years"	217
"female"	"78.46 years (2021 est.)"	217
"region"	"Turkmenistan"	218
"total population"	"71.54 years"	218
"male"	"68.5 years"	218
"female"	"74.73 years (2021 est.)"	218
"region"	"Turks and Caicos Islands"	219
"total population"	"80.6 years"	219
