"name"	"value"	"date_of_information"	"ranking"	"region"
"Lithuania"	"39.70"	"2017 est."	"129"	"Europe"
"Bosnia and Herzegovina"	"39.50"	"2017 est."	"130"	"Europe"
"Honduras"	"39.50"	"2017 est."	"131"	"Central America"
"Iran"	"39.50"	"2017 est."	"132"	"Middle East"
"Korea, South"	"39.50"	"2017 est."	"133"	"East Asia/Southeast Asia"
"Venezuela"	"38.90"	"2017 est."	"135"	"South America"
"Burkina Faso"	"38.10"	"2017 est."	"136"	"Africa"
"Guinea"	"37.90"	"2017 est."	"137"	"Africa"
"Panama"	"37.80"	"2017 est."	"138"	"Central America"
"Equatorial Guinea"	"37.40"	"2017 est."	"139"	"Africa"
"Dominican Republic"	"37.20"	"2017 est."	"140"	"Central America"
"Tanzania"	"37.00"	"2017 est."	"141"	"Africa"
"Tuvalu"	"37.00"	"2017 est."	"142"	"Australia - Oceania"
"Cameroon"	"36.90"	"2017 est."	"143"	"Africa"
"Papua New Guinea"	"36.90"	"2017 est."	"144"	"East Asia/Southeast Asia"
"Romania"	"36.80"	"2017 est."	"145"	"Europe"
"Norway"	"36.50"	"2017 est."	"146"	"Europe"
"Latvia"	"36.30"	"2017 est."	"147"	"Europe"
"Madagascar"	"36.00"	"2017 est."	"148"	"Africa"
"Taiwan"	"35.70"	"2017 est."	"149"	"East Asia/Southeast Asia"
"Mali"	"35.40"	"2017 est."	"150"	"Africa"
"Denmark"	"35.30"	"2017 est."	"151"	"Europe"
"Faroe Islands"	"35.00"	"2014 est."	"152"	"Europe"
"Czechia"	"34.70"	"2017 est."	"153"	"Europe"
"Liberia"	"34.40"	"2017 est."	"154"	"Africa"
"Lesotho"	"33.70"	"2017 est."	"155"	"Africa"
"Burma"	"33.60"	"2017 est."	"156"	"East Asia/Southeast Asia"
"Nicaragua"	"33.30"	"2017 est."	"157"	"Central America"
"Curacao"	"33.20"	"2012 est."	"158"	"Central America"
"Bangladesh"	"33.10"	"2017 est."	"159"	"South Asia"
"Comoros"	"32.40"	"2017 est."	"160"	"Africa"
"Djibouti"	"31.80"	"2017 est."	"161"	"Africa"
"New Zealand"	"31.70"	"2017 est."	"162"	"Australia - Oceania"
"Moldova"	"31.50"	"2017 est."	"163"	"Europe"
"Haiti"	"31.10"	"2017 est."	"164"	"Central America"
"Cambodia"	"30.40"	"2017 est."	"165"	"East Asia/Southeast Asia"
"Indonesia"	"28.80"	"2017 est."	"166"	"East Asia/Southeast Asia"
"Turkmenistan"	"28.80"	"2017 est."	"167"	"Central Asia"
"Eswatini"	"28.40"	"2017 est."	"168"	"Africa"
"Turkey"	"28.30"	"2017 est."	"169"	"Middle East"
"Algeria"	"27.50"	"2017 est."	"170"	"Africa"
"Nepal"	"26.40"	"2017 est."	"171"	"South Asia"
"Kiribati"	"26.30"	"2017 est."	"172"	"Australia - Oceania"
"Marshall Islands"	"25.50"	"2017 est."	"173"	"Australia - Oceania"
"Peru"	"25.40"	"2017 est."	"174"	"South America"
"Guatemala"	"24.70"	"2017 est."	"175"	"Central America"
"Micronesia, Federated States of"	"24.50"	"2017 est."	"176"	"Australia - Oceania"
"West Bank"	"24.40"	"2014 est."	"177"	"Middle East"
"Uzbekistan"	"24.30"	"2017 est."	"178"	"Central Asia"
"Palau"	"24.10"	"2016 est."	"179"	"Australia - Oceania"
"San Marino"	"24.10"	"2017 est."	"180"	"Europe"
"Bulgaria"	"23.90"	"2017 est."	"181"	"Europe"
"Chile"	"23.60"	"2017 est."	"182"	"South America"
"Luxembourg"	"23.00"	"2017 est."	"183"	"Europe"
"Guam"	"22.10"	"2016 est."	"184"	"Australia - Oceania"
"Nigeria"	"21.80"	"2017 est."	"185"	"Africa"
"Kosovo"	"21.20"	"2017 est."	"186"	"Europe"
"Kazakhstan"	"20.80"	"2017 est."	"187"	"Central Asia"
"Kuwait"	"20.60"	"2017 est."	"188"	"Middle East"
"Anguilla"	"20.10"	"2015 est."	"189"	"Central America"
"United Arab Emirates"	"19.70"	"2017 est."	"190"	"Middle East"
"Paraguay"	"19.50"	"2017 est."	"191"	"South America"
"Congo, Democratic Republic of the"	"18.10"	"2017 est."	"192"	"Africa"
"Saudi Arabia"	"17.20"	"2017 est."	"193"	"Middle East"
"Russia"	"15.50"	"2017 est."	"194"	"Central Asia"
"Botswana"	"14.00"	"2017 est."	"195"	"Africa"
"Greenland"	"13.00"	"2015 est."	"196"	"North America"
"American Samoa"	"12.20"	"2016 est."	"197"	"Australia - Oceania"
"Solomon Islands"	"9.40"	"2017 est."	"198"	"Australia - Oceania"
"Estonia"	"9.00"	"2017 est."	"199"	"Europe"
"Gibraltar"	"7.50"	"2008 est."	"200"	"Europe"
"Northern Mariana Islands"	"7.10"	"2017 est."	"201"	"Australia - Oceania"
"Afghanistan"	"7.00"	"2017 est."	"202"	"South Asia"
"New Caledonia"	"6.50"	"2015 est."	"203"	"Australia - Oceania"
"Wallis and Futuna"	"5.60"	"2004 est."	"204"	"Australia - Oceania"
"Libya"	"4.70"	"2017 est."	"205"	"Africa"
"Timor-Leste"	"3.80"	"2017 est."	"206"	"East Asia/Southeast Asia"
"Brunei"	"2.80"	"2017 est."	"207"	"East Asia/Southeast Asia"
"Hong Kong"	"0.10"	"2017 est."	"208"	"East Asia/Southeast Asia"
"Falkland Islands (Islas Malvinas)"	"0.00"	"2015 est."	"209"	"South America"
"Macau"	"0.00"	"2017 est."	"210"	"East Asia/Southeast Asia"
