"name"	"value"	"date_of_information"	"ranking"	"region"
"Iran"	"40.8"	"2017 est."	"56"	"Middle East"
"Kenya"	"40.8"	"2015 est."	"57"	"Africa"
"Turkmenistan"	"40.8"	"1998"	"58"	"Central Asia"
"Tanzania"	"40.5"	"2017 est."	"59"	"Africa"
"Bulgaria"	"40.4"	"2017 est."	"60"	"Europe"
"Senegal"	"40.3"	"2011 est."	"61"	"Africa"
"Mali"	"40.1"	"2001"	"62"	"Africa"
"Micronesia, Federated States of"	"40.1"	"2013 est."	"63"	"Australia - Oceania"
"Sri Lanka"	"39.8"	"2016 est."	"64"	"South Asia"
"Uruguay"	"39.7"	"2018 est."	"65"	"South America"
"Morocco"	"39.5"	"2013 est."	"66"	"Africa"
"Tuvalu"	"39.1"	"2010 est."	"67"	"Australia - Oceania"
"Montenegro"	"39.0"	"2015 est."	"68"	"Europe"
"Venezuela"	"39.0"	"2011"	"69"	"South America"
"Samoa"	"38.7"	"2013 est."	"70"	"Australia - Oceania"
"Burundi"	"38.6"	"2013 est."	"71"	"Africa"
"El Salvador"	"38.6"	"2018 est."	"72"	"Central America"
"China"	"38.5"	"2016 est."	"73"	"East Asia/Southeast Asia"
"Gabon"	"38.0"	"2017 est."	"74"	"Africa"
"Cambodia"	"37.9"	"2008 est."	"75"	"East Asia/Southeast Asia"
"Indonesia"	"37.8"	"2018 est."	"76"	"East Asia/Southeast Asia"
"Tonga"	"37.6"	"2015 est."	"77"	"Australia - Oceania"
"Vanuatu"	"37.6"	"2010 est."	"78"	"Australia - Oceania"
"Russia"	"37.5"	"2018 est."	"79"	"Central Asia"
"Bhutan"	"37.4"	"2017 est."	"80"	"South Asia"
"Lithuania"	"37.3"	"2017 est."	"81"	"Europe"
"Solomon Islands"	"37.1"	"2013 est."	"82"	"Australia - Oceania"
"Israel"	"37.0"	"2018 est."	"83"	"Middle East"
"Mauritius"	"36.8"	"2017 est."	"84"	"Africa"
"Mexico"	"36.8"	"2018 est."	"85"	"North America"
"Uzbekistan"	"36.8"	"2003"	"86"	"Central Asia"
"Fiji"	"36.7"	"2013 est."	"87"	"Australia - Oceania"
"Yemen"	"36.7"	"2014 est."	"88"	"Middle East"
"Georgia"	"36.4"	"2018 est."	"89"	"Middle East"
"Laos"	"36.4"	"2012 est."	"90"	"East Asia/Southeast Asia"
"Thailand"	"36.4"	"2018 est."	"91"	"East Asia/Southeast Asia"
"New Zealand"	"36.2"	"1997"	"92"	"Australia - Oceania"
"Serbia"	"36.2"	"2017 est."	"93"	"Europe"
"Falkland Islands (Islas Malvinas)"	"36.0"	"2015"	"94"	"South America"
"Romania"	"36.0"	"2017 est."	"95"	"Europe"
"Gambia, The"	"35.9"	"2015 est."	"96"	"Africa"
"Italy"	"35.9"	"2017 est."	"97"	"Europe"
"India"	"35.7"	"2011 est."	"98"	"South Asia"
"Sierra Leone"	"35.7"	"2018 est."	"99"	"Africa"
"Vietnam"	"35.7"	"2018 est."	"100"	"East Asia/Southeast Asia"
"Latvia"	"35.6"	"2017 est."	"101"	"Europe"
"Korea, South"	"35.4"	"2015 est."	"102"	"East Asia/Southeast Asia"
"Burkina Faso"	"35.3"	"2014 est."	"103"	"Africa"
"Liberia"	"35.3"	"2016 est."	"104"	"Africa"
"Nigeria"	"35.1"	"2018 est."	"105"	"Africa"
"Ethiopia"	"35.0"	"2015 est."	"106"	"Africa"
"Jamaica"	"35.0"	"2016"	"107"	"Central America"
"Macau"	"35.0"	"2013"	"108"	"East Asia/Southeast Asia"
"Luxembourg"	"34.9"	"2017 est."	"109"	"Europe"
"United Kingdom"	"34.8"	"2016 est."	"110"	"Europe"
"Spain"	"34.7"	"2017 est."	"111"	"Europe"
"Armenia"	"34.4"	"2018 est."	"112"	"Middle East"
"Australia"	"34.4"	"2014 est."	"113"	"Australia - Oceania"
"Greece"	"34.4"	"2017 est."	"114"	"Europe"
"Niger"	"34.3"	"2014 est."	"115"	"Africa"
"Sudan"	"34.2"	"2014 est."	"117"	"Africa"
"Tajikistan"	"34.0"	"2015 est."	"118"	"Central Asia"
"Greenland"	"33.9"	"2015 est."	"119"	"North America"
"Portugal"	"33.8"	"2017 est."	"120"	"Europe"
"Azerbaijan"	"33.7"	"2008"	"121"	"Middle East"
"Gaza Strip"	"33.7"	"2016 est."	"122"	"Middle East"
"Guinea"	"33.7"	"2012 est."	"123"	"Africa"
"Jordan"	"33.7"	"2010 est."	"124"	"Middle East"
"West Bank"	"33.7"	"2016 est."	"125"	"Middle East"
"Taiwan"	"33.6"	"2014"	"126"	"East Asia/Southeast Asia"
"Pakistan"	"33.5"	"2015 est."	"127"	"South Asia"
"Canada"	"33.3"	"2017 est."	"128"	"North America"
"Albania"	"33.2"	"2017 est."	"129"	"Europe"
"Bosnia and Herzegovina"	"33.0"	"2011 est."	"130"	"Europe"
"Japan"	"32.9"	"2013 est."	"131"	"East Asia/Southeast Asia"
"Ireland"	"32.8"	"2016 est."	"132"	"Europe"
"Nepal"	"32.8"	"2010 est."	"133"	"South Asia"
"Tunisia"	"32.8"	"2015 est."	"134"	"Africa"
"Mongolia"	"32.7"	"2018 est."	"135"	"East Asia/Southeast Asia"
"Switzerland"	"32.7"	"2017 est."	"136"	"Europe"
"Mauritania"	"32.6"	"2014 est."	"137"	"Africa"
"United Arab Emirates"	"32.5"	"2014 est."	"138"	"Middle East"
"Bangladesh"	"32.4"	"2016 est."	"139"	"South Asia"
"Germany"	"31.9"	"2016 est."	"140"	"Europe"
"Lebanon"	"31.8"	"2011 est."	"141"	"Middle East"
"France"	"31.6"	"2017 est."	"142"	"Europe"
"Egypt"	"31.5"	"2017 est."	"143"	"Africa"
"Cyprus"	"31.4"	"2017 est."	"144"	"Europe"
"Maldives"	"31.3"	"2016 est."	"145"	"South Asia"
"Burma"	"30.7"	"2017 est."	"146"	"East Asia/Southeast Asia"
"Hungary"	"30.6"	"2017 est."	"147"	"Europe"
"Croatia"	"30.4"	"2017 est."	"148"	"Europe"
"Estonia"	"30.4"	"2017 est."	"149"	"Europe"
"Austria"	"29.7"	"2017 est."	"150"	"Europe"
"Poland"	"29.7"	"2017 est."	"151"	"Europe"
"Iraq"	"29.5"	"2012 est."	"152"	"Middle East"
"Afghanistan"	"29.4"	"2008"	"153"	"South Asia"
"Malta"	"29.2"	"2017 est."	"154"	"Europe"
"Kosovo"	"29.0"	"2017 est."	"155"	"Europe"
"Sweden"	"28.8"	"2017 est."	"156"	"Europe"
"Denmark"	"28.7"	"2017 est."	"157"	"Europe"
"Timor-Leste"	"28.7"	"2014 est."	"158"	"East Asia/Southeast Asia"
"Netherlands"	"28.5"	"2017 est."	"159"	"Europe"
"Kyrgyzstan"	"27.7"	"2018 est."	"160"	"Central Asia"
"Algeria"	"27.6"	"2011 est."	"161"	"Africa"
"Kazakhstan"	"27.5"	"2017 est."	"162"	"Central Asia"
"Belgium"	"27.4"	"2017 est."	"163"	"Europe"
"Finland"	"27.4"	"2017 est."	"164"	"Europe"
"Norway"	"27.0"	"2017 est."	"165"	"Europe"
"Iceland"	"26.8"	"2015 est."	"166"	"Europe"
"Ukraine"	"26.1"	"2018 est."	"167"	"Europe"
"Moldova"	"25.7"	"2018 est."	"168"	"Europe"
"Belarus"	"25.2"	"2018 est."	"169"	"Europe"
"Slovakia"	"25.2"	"2016 est."	"170"	"Europe"
"Czechia"	"24.9"	"2017 est."	"171"	"Europe"
"Slovenia"	"24.2"	"2017 est."	"172"	"Europe"
"Faroe Islands"	"22.7"	"2013 est."	"173"	"Europe"
"Jersey"	"0.3"	"2014 est."	"174"	"Europe"
