"Rank "	"Change from Last Year: Rank "	"Country "	"Region "	"Regime type "	"Elec­toral pro­cess and plura­lism "	"Func­tioning of govern­ment "	"Poli­tical partici­pation "	"Poli­tical cul­ture "	"Civil liber­ties "	"Overall score "	"Change from Last Year: Score"
21	"Increase 3 "	" Japan "	"Asia and Australasia "	"Full democracy "	8.75	8.57	6.67	8.13	8.53	8.13	"Increase 0.14"
22	"Decrease 6 "	" Spain "	"Western Europe "	"Full democracy "	9.58	7.14	7.22	8.13	8.53	8.12	"Decrease 0.17"
23	"Steady "	" South Korea "	"Asia and Australasia "	"Full democracy "	9.17	8.21	7.22	7.5	7.94	8.01	"Increase 0.01"
24	"Decrease 4 "	" France "	"Western Europe "	"Flawed democracy "	9.58	7.5	7.78	6.88	8.24	7.99	"Decrease 0.13"
25	"Steady "	" United States "	"North America "	"Flawed democracy "	9.17	6.79	8.89	6.25	8.53	7.92	"Decrease 0.04"
26	"Decrease 4 "	" Portugal "	"Western Europe "	"Flawed democracy "	9.58	7.5	6.11	7.5	8.82	7.9	"Decrease 0.13"
27	"Steady "	" Estonia "	"Central and Eastern Europe "	"Flawed democracy "	9.58	7.86	6.67	6.88	8.24	7.84	"Decrease 0.06"
27	"Increase 1 "	" Israel "	"Middle East and North Africa "	"Flawed democracy "	9.17	7.5	9.44	7.5	5.59	7.84	"Decrease 0.02"
29	"Increase 6 "	" Italy "	"Western Europe "	"Flawed democracy "	9.58	6.43	7.22	7.5	7.94	7.74	"Increase 0.22"
30	"Decrease 4 "	" Malta "	"Western Europe "	"Flawed democracy "	9.17	6.79	6.11	8.13	8.24	7.68	"Decrease 0.27"
31	"Increase 1 "	" Czech Republic "	"Central and Eastern Europe "	"Flawed democracy "	9.58	6.07	6.67	7.5	8.53	7.67	"Decrease 0.02"
32	"Decrease 2 "	" Cape Verde "	"Sub-Saharan Africa "	"Flawed democracy "	9.17	7	6.67	6.88	8.53	7.65	"Decrease 0.13"
33	"Decrease 4 "	" Botswana "	"Sub-Saharan Africa "	"Flawed democracy "	9.17	6.79	6.11	7.5	8.53	7.62	"Decrease 0.19"
34	"Steady "	" Cyprus "	"Western Europe "	"Flawed democracy "	9.17	5.36	7.22	7.5	8.53	7.56	"Decrease 0.03"
35	"Increase 1 "	" Slovenia "	"Central and Eastern Europe "	"Flawed democracy "	9.58	6.43	7.22	6.25	8.24	7.54	"Increase 0.04"
36	"Decrease 3 "	" Belgium "	"Western Europe "	"Flawed democracy "	9.58	7.86	5	6.88	8.24	7.51	"Decrease 0.13"
37	"Increase 2 "	" Greece "	"Western Europe "	"Flawed democracy "	9.58	5.21	6.11	7.5	8.53	7.39	"Decrease 0.04"
38	"Steady "	" Latvia "	"Central and Eastern Europe "	"Flawed democracy "	9.58	6.07	6.67	5.63	8.24	7.24	"Decrease 0.25"
39	"Increase 4 "	" Malaysia "	"Asia and Australasia "	"Flawed democracy "	9.58	7.86	6.67	6.25	5.59	7.19	"Increase 0.03"
40	"Increase 6 "	" Panama "	"Latin America and the Caribbean "	"Flawed democracy "	9.58	6.43	7.22	5	7.65	7.18	"Increase 0.13"
41	"Increase 2 "	" Trinidad and Tobago "	"Latin America and the Caribbean "	"Flawed democracy "	9.58	7.14	6.11	5.63	7.35	7.16	"Steady"
42	"Increase 8 "	" Jamaica "	"Central and Eastern Europe "	"Flawed democracy "	8.75	7.14	5	6.25	8.53	7.13	"Increase 0.17"
42	"Decrease 6 "	" Lithuania "	"Latin America and the Caribbean "	"Flawed democracy "	9.58	6.07	5.56	5.63	8.82	7.13	"Decrease 0.37"
44	"Decrease 3 "	" Timor-Leste "	"Asia and Australasia "	"Flawed democracy "	9.58	5.93	5.56	6.88	7.35	7.06	"Decrease 0.13"
45	"Decrease 5 "	" South Africa "	"Sub-Saharan Africa "	"Flawed democracy "	7.42	7.14	8.33	5	7.35	7.05	"Decrease 0.19"
46	"Decrease 1 "	" Colombia "	"Latin America and the Caribbean "	"Flawed democracy "	9.17	6.43	6.67	5	7.94	7.04	"Decrease 0.09"
47	"Decrease 5 "	" Slovakia "	"Central and Eastern Europe "	"Flawed democracy "	9.58	6.43	5.56	5.63	7.65	6.97	"Decrease 0.20"
48	"Steady "	" Argentina "	"Latin America and the Caribbean "	"Flawed democracy "	9.17	5.36	6.67	5.63	7.94	6.95	"Decrease 0.07"
49	"Increase 3 "	" Brazil "	"Latin America and the Caribbean "	"Flawed democracy "	9.58	5.36	6.11	5.63	7.94	6.92	"Increase 0.04"
50	"Increase 7 "	" Poland "	"Central and Eastern Europe "	"Flawed democracy "	9.17	5.71	6.67	5.63	7.06	6.85	"Increase 0.23"
51	"Decrease 2 "	" Suriname "	"Latin America and the Caribbean "	"Flawed democracy "	9.58	6.07	6.11	5	7.35	6.82	"Decrease 0.16"
52	"Decrease 5 "	" Bulgaria "	"Central and Eastern Europe "	"Flawed democracy "	9.17	5.71	7.22	4.38	7.06	6.71	"Decrease 0.32"
53	"Decrease 2 "	" India "	"Asia and Australasia "	"Flawed democracy "	8.67	7.14	6.67	5	5.59	6.61	"Decrease 0.29"
54	"Decrease 1 "	" Tunisia "	"Middle East and North Africa "	"Flawed democracy "	9.17	5.36	7.22	5.63	5.59	6.59	"Decrease 0.13"
55	"Decrease 1 "	" Philippines "	"Central and Eastern Europe "	"Flawed democracy "	9.17	5	7.78	4.38	6.47	6.56	"Decrease 0.08"
55	"Steady "	" Hungary "	"Asia and Australasia "	"Flawed democracy "	8.33	6.43	5	6.25	6.76	6.56	"Decrease 0.07"
57	"Increase 1 "	" Peru "	"Latin America and the Caribbean "	"Flawed democracy "	8.75	5.36	5.56	5.63	7.35	6.53	"Decrease 0.07"
58	"Increase 7 "	" Namibia "	"Sub-Saharan Africa "	"Flawed democracy "	7	5.36	6.67	5.63	7.94	6.52	"Increase 0.09"
59	"Steady "	" Croatia "	"Central and Eastern Europe "	"Flawed democracy "	9.17	6.07	6.11	4.38	6.76	6.5	"Decrease 0.07"
59	"Decrease 4 "	" Ghana "	"Sub-Saharan Africa "	"Flawed democracy "	8.33	5.36	6.67	6.25	5.88	6.5	"Decrease 0.13"
61	"Increase 1 "	" Mongolia "	"Asia and Australasia "	"Flawed democracy "	8.75	5.71	5.56	5.63	6.76	6.48	"Decrease 0.02"
62	"Increase 1 "	" Romania "	"Central and Eastern Europe "	"Flawed democracy "	9.17	5.36	6.67	3.75	7.06	6.4	"Decrease 0.09"
63	"Decrease 3 "	" Dominican Republic "	"Latin America and the Caribbean "	"Flawed democracy "	9.17	4.29	6.11	5	7.06	6.32	"Decrease 0.22"
64	"Decrease 4 "	" Lesotho "	"Asia and Australasia "	"Flawed democracy "	9.17	4.14	6.11	5.63	6.47	6.3	"Decrease 0.24"
64	"Steady "	" Indonesia "	"Sub-Saharan Africa "	"Flawed democracy "	7.92	7.5	6.11	4.38	5.59	6.3	"Decrease 0.18"
66	"Steady "	" Serbia "	"Central and Eastern Europe "	"Flawed democracy "	8.25	5.36	6.67	3.75	7.06	6.22	"Decrease 0.19"
67	"Increase 3 "	" Paraguay "	"Latin America and the Caribbean "	"Flawed democracy "	8.75	5.71	5	4.38	7.06	6.18	"Decrease 0.06"
68	"Increase 1 "	" Sri Lanka "	"Asia and Australasia "	"Flawed democracy "	7	5.71	5.56	6.25	6.18	6.14	"Decrease 0.13"
69	"Decrease 2 "	" Ecuador "	"Latin America and the Caribbean "	"Flawed democracy "	8.75	5	6.67	3.75	6.47	6.13	"Decrease 0.20"
70	"Increase 4 "	" Papua New Guinea "	"Asia and Australasia "	"Flawed democracy "	6.92	6.07	3.33	6.25	7.94	6.1	"Increase 0.07"
71	"Increase 8 "	" Albania "	"Central and Eastern Europe "	"Flawed democracy "	7	5.36	4.44	6.25	7.35	6.08	"Increase 0.19"
72	"Increase 1 "	" Mexico "	"Latin America and the Caribbean "	"Flawed democracy "	7.83	5.71	7.78	3.13	5.88	6.07	"Decrease 0.02"
73	"Decrease 5 "	" Thailand "	"Asia and Australasia "	"Flawed democracy "	7	5	6.67	6.25	5.29	6.04	"Decrease 0.28"
74	"Increase 1 "	" Singapore "	"Asia and Australasia "	"Flawed democracy "	4.83	7.86	4.44	6.25	6.76	6.03	"Increase 0.01"
75	"Decrease 4 "	" Guyana "	"Latin America and the Caribbean "	"Flawed democracy "	6.5	5.36	6.11	5	7.06	6.01	"Decrease 0.14"
76	"Increase 4 "	" Bangladesh "	"Asia and Australasia "	"Hybrid regime "	7.42	6.07	6.11	5.63	4.71	5.99	"Increase 0.11"
77	"Decrease 6 "	" El Salvador "	"Latin America and the Caribbean "	"Hybrid regime "	9.17	4.29	6.11	3.75	6.18	5.9	"Decrease 0.25"
78	"Decrease 1 "	" North Macedonia "	"Central and Eastern Europe "	"Hybrid regime "	7.42	5.71	6.11	3.13	7.06	5.89	"Decrease 0.08"
79	"Decrease 1 "	" Ukraine "	"Central and Eastern Europe "	"Hybrid regime "	8.25	2.71	7.22	5	5.88	5.81	"Decrease 0.09"
80	"Increase 3 "	" Moldova "	"Central and Eastern Europe "	"Hybrid regime "	7	4.64	6.11	4.38	6.76	5.78	"Increase 0.03"
81	"Increase 3 "	" Montenegro "	"Central and Eastern Europe "	"Hybrid regime "	7.42	5.71	6.11	3.13	6.47	5.77	"Increase 0.12"
82	"Increase 5 "	" Malawi "	"Sub-Saharan Africa "	"Hybrid regime "	7	4.29	5	6.25	6.18	5.74	"Increase 0.24"
83	"Decrease 2 "	" Fiji "	"Asia and Australasia "	"Hybrid regime "	6.58	5	6.11	5.63	5.29	5.72	"Decrease 0.13"
84	"Increase 7 "	" Bhutan "	"Asia and Australasia "	"Hybrid regime "	8.75	6.79	3.33	5	4.71	5.71	"Increase 0.41"
85	"Steady "	" Madagascar "	"Sub-Saharan Africa "	"Hybrid regime "	7.92	3.57	6.67	5.63	4.71	5.7	"Increase 0.06"
86	"Decrease 4 "	" Senegal "	"Sub-Saharan Africa "	"Hybrid regime "	6.08	5.71	4.44	6.25	5.88	5.67	"Decrease 0.18"
87	"Decrease 12 "	" Hong Kong "	"Asia and Australasia "	"Hybrid regime "	3.17	3.64	5	7.5	8.53	5.57	"Decrease 0.45"
88	"Increase 1 "	" Honduras "	"Latin America and the Caribbean "	"Hybrid regime "	7.83	4.29	4.44	4.38	5.88	5.36	"Decrease 0.06"
89	"Decrease 3 "	" Armenia "	"Central and Eastern Europe "	"Hybrid regime "	7.5	5	6.11	3.13	5	5.35	"Decrease 0.19"
90	"Decrease 2 "	" Liberia "	"Sub-Saharan Africa "	"Hybrid regime "	7.42	2.71	5.56	5.63	5.29	5.32	"Decrease 0.13"
91	"Decrease 2 "	" Georgia "	"Central and Eastern Europe "	"Hybrid regime "	7.83	3.57	6.11	3.75	5.29	5.31	"Decrease 0.11"
92	"Steady "	"   Nepal "	"Asia and Australasia "	"Hybrid regime "	4.83	5.36	5	5.63	5.29	5.22	"Decrease 0.06"
93	"Increase 2 "	" Tanzania "	"Sub-Saharan Africa "	"Hybrid regime "	4.83	5	5	6.25	4.41	5.1	"Decrease 0.06"
94	"Increase 10 "	" Bolivia "	"Latin America and the Caribbean "	"Hybrid regime "	6.08	3.57	6.11	3.75	5.88	5.08	"Increase 0.24"
95	"Decrease 1 "	" Kenya "	"Sub-Saharan Africa "	"Hybrid regime "	3.5	5.36	6.67	5.63	4.12	5.05	"Decrease 0.13"
96	"Steady "	" Morocco "	"Middle East and North Africa "	"Hybrid regime "	5.25	4.64	5.56	5.63	4.12	5.04	"Decrease 0.06"
97	"Decrease 4 "	" Guatemala "	"Latin America and the Caribbean "	"Hybrid regime "	6.92	3.93	5	3.13	5.88	4.97	"Decrease 0.29"
98	"Increase 1 "	" Uganda "	"Sub-Saharan Africa "	"Hybrid regime "	4.33	3.21	5	6.88	5.29	4.94	"Decrease 0.08"
99	"Decrease 2 "	" Zambia "	"Sub-Saharan Africa "	"Hybrid regime "	4.75	2.93	3.89	6.88	5.88	4.86	"Decrease 0.23"
99	"Increase 3 "	" Sierra Leone "	"Sub-Saharan Africa "	"Hybrid regime "	6.58	2.86	3.33	6.25	5.29	4.86	"Steady"
101	"Increase 1 "	" Bosnia and Herzegovina "	"Central and Eastern Europe "	"Hybrid regime "	7	2.93	5.56	3.13	5.59	4.84	"Decrease 0.02"
102	"Decrease 5 "	" Benin "	"Sub-Saharan Africa "	"Hybrid regime "	3.33	5.36	3.89	5.63	4.71	4.58	"Decrease 0.51"
103	"Increase 4 "	" Gambia "	"Sub-Saharan Africa "	"Hybrid regime "	4	4.29	4.44	5.63	4.12	4.49	"Increase 0.16"
104	"Increase 6 "	" Turkey "	"Western Europe "	"Hybrid regime "	3.5	5.36	5.56	5.63	2.35	4.48	"Increase 0.39"
105	"Increase 3 "	" Pakistan "	"Asia and Australasia "	"Hybrid regime "	5.67	5.36	3.33	2.5	4.71	4.31	"Increase 0.06"
106	"Decrease 1 "	" Haiti "	"Latin America and the Caribbean "	"Hybrid regime "	4.75	1.71	2.78	6.25	5.59	4.22	"Decrease 0.35"
107	"Decrease 6 "	" Kyrgyzstan "	"Central and Eastern Europe "	"Hybrid regime "	4.75	2.93	5.56	3.13	4.71	4.21	"Decrease 0.67"
108	"Decrease 2 "	" Lebanon "	"Middle East and North Africa "	"Hybrid regime "	3.5	1.5	6.67	5	4.12	4.16	"Decrease 0.20"
109	"Increase 2 "	" Ivory Coast "	"Sub-Saharan Africa "	"Hybrid regime "	4.33	2.86	3.89	5.63	3.82	4.11	"Increase 0.06"
110	"Decrease 1 "	" Nigeria "	"Sub-Saharan Africa "	"Hybrid regime "	5.17	3.57	3.89	3.75	4.12	4.1	"Decrease 0.02"
111	"Decrease 11 "	" Mali "	"Sub-Saharan Africa "	"Authoritarian "	5.17	0	4.44	5.63	4.41	3.93	"Decrease 0.99"
112	"Increase 4 "	" Mauritania "	"Sub-Saharan Africa "	"Authoritarian "	3.5	3.57	5	3.13	4.41	3.92	"Steady"
113	"Increase 4 "	" Palestine "	"Middle East and North Africa "	"Authoritarian "	3.33	0.14	7.78	4.38	3.53	3.83	"Decrease 0.06"
114	"Steady "	" Kuwait "	"Middle East and North Africa "	"Authoritarian "	3.58	3.93	3.89	4.38	3.24	3.8	"Decrease 0.13"
115	"Decrease 2 "	" Algeria "	"Middle East and North Africa "	"Authoritarian "	3.08	2.5	4.44	5	3.82	3.77	"Decrease 0.24"
116	"Decrease 4 "	" Burkina Faso "	"Sub-Saharan Africa "	"Authoritarian "	3	2.36	4.44	5	3.82	3.73	"Decrease 0.31"
117	"Increase 2 "	" Angola "	"Sub-Saharan Africa "	"Authoritarian "	2.25	2.86	5.56	5	2.65	3.66	"Decrease 0.06"
118	"Steady "	" Iraq "	"Middle East and North Africa "	"Authoritarian "	5.25	0	6.67	5	1.18	3.62	"Decrease 0.12"
118	"Decrease 4 "	" Jordan "	"Middle East and North Africa "	"Authoritarian "	2.67	3.93	3.89	4.38	3.24	3.62	"Decrease 0.31"
120	"Increase 2 "	" Nicaragua "	"Latin America and the Caribbean "	"Authoritarian "	0.42	2.86	5	5.63	4.12	3.6	"Increase 0.05"
121	"Steady "	" Gabon "	"Sub-Saharan Africa "	"Authoritarian "	2.58	1.86	4.44	5	3.82	3.54	"Decrease 0.07"
122	"Decrease 2 "	" Mozambique "	"Sub-Saharan Africa "	"Authoritarian "	2.58	1.43	5	5	3.53	3.51	"Decrease 0.14"
123	"Increase 2 "	" Ethiopia "	"Sub-Saharan Africa "	"Authoritarian "	0.42	3.57	5.56	5	2.35	3.38	"Decrease 0.06"
124	"Increase 10 "	" Russia "	"Central and Eastern Europe "	"Authoritarian "	2.17	2.14	5	3.13	4.12	3.31	"Increase 0.20"
125	"Increase 2 "	" Niger "	"Sub-Saharan Africa "	"Authoritarian "	2.92	1.14	3.33	4.38	4.71	3.29	"Steady"
126	"Increase 2 "	" Qatar "	"Middle East and North Africa "	"Authoritarian "	0	4.29	2.78	5.63	3.53	3.24	"Increase 0.05"
127	"Increase 2 "	" Zimbabwe "	"Sub-Saharan Africa "	"Authoritarian "	0	2.5	4.44	5.63	3.24	3.16	"Steady"
128	"Increase 11 "	" Kazakhstan "	"Central and Eastern Europe "	"Authoritarian "	0.5	3.21	5	3.75	3.24	3.14	"Increase 0.20"
129	"Increase 5 "	" Republic of the Congo "	"Sub-Saharan Africa "	"Authoritarian "	2.17	2.5	3.89	3.75	3.24	3.11	"Steady"
130	"Decrease 6 "	" Cambodia "	"Asia and Australasia "	"Authoritarian "	0	3.93	3.89	5.63	2.06	3.1	"Decrease 0.43"
130	"Decrease 1 "	" Rwanda "	"Sub-Saharan Africa "	"Authoritarian "	1.42	4.29	2.78	4.38	2.65	3.1	"Decrease 0.06"
132	"Decrease 1 "	" Comoros "	"Sub-Saharan Africa "	"Authoritarian "	2.08	2.21	3.89	3.75	3.53	3.09	"Decrease 0.06"
133	"Decrease 1 "	" Eswatini "	"Sub-Saharan Africa "	"Authoritarian "	0.92	2.86	2.78	5.63	3.24	3.08	"Decrease 0.06"
133	"Increase 4 "	" Guinea "	"Sub-Saharan Africa "	"Authoritarian "	3.5	0.43	4.44	4.38	2.65	3.08	"Decrease 0.06"
135	"Decrease 13 "	" Myanmar "	"Asia and Australasia "	"Authoritarian "	1.75	3.93	2.78	4.38	2.35	3.04	"Decrease 0.51"
136	"Increase 1 "	" Oman "	"Middle East and North Africa "	"Authoritarian "	0.08	3.93	2.78	4.38	3.82	3	"Decrease 0.06"
137	"Decrease 1 "	" Vietnam "	"Asia and Australasia "	"Authoritarian "	0	2.86	3.89	5.63	2.35	2.94	"Decrease 0.14"
138	"Decrease 1 "	" Egypt "	"Middle East and North Africa "	"Authoritarian "	1.33	3.21	3.33	5	1.76	2.93	"Decrease 0.13"
139	"Increase 2 "	" Afghanistan "	"Asia and Australasia "	"Authoritarian "	3.42	0.64	3.89	2.5	3.82	2.85	"Steady"
140	"Increase 3 "	" Cuba "	"Latin America and the Caribbean "	"Authoritarian "	0	3.57	3.33	4.38	2.94	2.84	"Steady"
141	"Decrease 15 "	" Togo "	"Sub-Saharan Africa "	"Authoritarian "	3.17	1.79	3.33	5	3.24	2.8	"Decrease 0.50"
142	"Decrease 1 "	" Cameroon "	"Sub-Saharan Africa "	"Authoritarian "	1.67	2.14	3.33	4.38	2.35	2.77	"Decrease 0.08"
143	"Decrease 3 "	" Venezuela "	"Latin America and the Caribbean "	"Authoritarian "	0	1.79	5	4.38	2.65	2.76	"Decrease 0.04"
144	"Steady "	" Djibouti "	"Sub-Saharan Africa "	"Authoritarian "	0.42	1.29	3.89	5.63	2.35	2.71	"Decrease 0.06"
145	"Steady "	" United Arab Emirates "	"Middle East and North Africa "	"Authoritarian "	0	3.93	2.22	5	2.65	2.7	"Decrease 0.06"
146	"Steady "	" Azerbaijan "	"Central and Eastern Europe "	"Authoritarian "	0.5	2.86	3.33	3.75	2.94	2.68	"Decrease 0.07"
147	"Increase 1 "	" Guinea-Bissau "	"Sub-Saharan Africa "	"Authoritarian "	4.92	0	2.78	3.13	2.35	2.63	"Steady"
148	"Increase 2 "	" Belarus "	"Central and Eastern Europe "	"Authoritarian "	0	2	3.89	5	2.06	2.59	"Increase 0.11"
149	"Decrease 2 "	" Sudan "	"Middle East and North Africa "	"Authoritarian "	0	1.79	4.44	5	1.47	2.54	"Decrease 0.16"
150	"Decrease 1 "	" Bahrain "	"Middle East and North Africa "	"Authoritarian "	0.83	2.71	2.78	4.38	1.76	2.49	"Decrease 0.06"
151	"Increase 2 "	" China "	"Asia and Australasia "	"Authoritarian "	0	4.29	2.78	3.13	1.18	2.27	"Increase 0.01"
152	"Decrease 1 "	" Iran "	"Middle East and North Africa "	"Authoritarian "	0	2.5	3.89	3.13	1.47	2.2	"Decrease 0.18"
153	"Decrease 1 "	" Eritrea "	"Sub-Saharan Africa "	"Authoritarian "	0	2.14	0.56	6.88	1.18	2.15	"Decrease 0.22"
154	"Steady "	" Burundi "	"Sub-Saharan Africa "	"Authoritarian "	0	0	3.33	5	2.35	2.14	"Decrease 0.01"
155	"Increase 2 "	" Uzbekistan "	"Central and Eastern Europe "	"Authoritarian "	0.08	1.86	2.78	5	0.88	2.12	"Increase 0.11"
156	"Increase 3 "	" Saudi Arabia "	"Middle East and North Africa "	"Authoritarian "	0	3.57	2.22	3.13	1.47	2.08	"Increase 0.15"
157	"Decrease 1 "	" Libya "	"Middle East and North Africa "	"Authoritarian "	0	0	3.33	3.75	2.65	1.95	"Decrease 0.07"
157	"Steady "	" Yemen "	"Middle East and North Africa "	"Authoritarian "	0	0	3.89	5	0.88	1.95	"Steady"
159	"Steady "	" Tajikistan "	"Central and Eastern Europe "	"Authoritarian "	0	2.21	2.22	4.38	0.88	1.94	"Increase 0.01"
160	"Increase 1 "	" Equatorial Guinea "	"Sub-Saharan Africa "	"Authoritarian "	0	0.43	3.33	4.38	1.47	1.92	"Steady"
161	"Decrease 6 "	" Laos "	"Asia and Australasia "	"Authoritarian "	0	2.86	1.67	3.75	0.59	1.77	"Decrease 0.37"
162	"Steady "	" Turkmenistan "	"Central and Eastern Europe "	"Authoritarian "	0	0.79	2.22	5	0.59	1.72	"Steady"
163	"Steady "	" Chad "	"Sub-Saharan Africa "	"Authoritarian "	0	0	1.67	3.75	2.35	1.55	"Decrease 0.06"
164	"Steady "	" Syria "	"Middle East and North Africa "	"Authoritarian "	0	0	2.78	4.38	0	1.43	"Steady"
165	"Steady "	" Central African Republic "	"Sub-Saharan Africa "	"Authoritarian "	1.25	0	1.11	1.88	2.35	1.32	"Steady"
166	"Steady "	" Democratic Republic of the Congo "	"Sub-Saharan Africa "	"Authoritarian "	0	0	1.67	3.13	0.88	1.13	"Steady"
167	"Steady "	" North Korea "	"Asia and Australasia "	"Authoritarian "	0	2.5	1.67	1.25	0	1.08	"Steady"
