"key"	"value"
"services"	"72.7% (2017 est.)"
"region"	"British Virgin Islands"
"agriculture"	"0.2% (2017 est.)"
"industry"	"6.8% (2017 est.)"
"services"	"93.1% (2017 est.)"
"region"	"Brunei"
"agriculture"	"1.2% (2017 est.)"
"industry"	"56.6% (2017 est.)"
"services"	"42.3% (2017 est.)"
"region"	"Bulgaria"
"agriculture"	"4.3% (2017 est.)"
"industry"	"28% (2017 est.)"
"services"	"67.4% (2017 est.)"
"region"	"Burkina Faso"
"agriculture"	"31% (2017 est.)"
"industry"	"23.9% (2017 est.)"
"services"	"44.9% (2017 est.)"
"region"	"Burma"
"agriculture"	"24.1% (2017 est.)"
"industry"	"35.6% (2017 est.)"
"services"	"40.3% (2017 est.)"
"region"	"Burundi"
"agriculture"	"39.5% (2017 est.)"
"industry"	"16.4% (2017 est.)"
"services"	"44.2% (2017 est.)"
"region"	"Cabo Verde"
"agriculture"	"8.9% (2017 est.)"
"industry"	"17.5% (2017 est.)"
"services"	"73.7% (2017 est.)"
"region"	"Cambodia"
"agriculture"	"25.3% (2017 est.)"
"industry"	"32.8% (2017 est.)"
"services"	"41.9% (2017 est.)"
"region"	"Cameroon"
"agriculture"	"16.7% (2017 est.)"
"industry"	"26.5% (2017 est.)"
"services"	"56.8% (2017 est.)"
"region"	"Canada"
"agriculture"	"1.6% (2017 est.)"
"industry"	"28.2% (2017 est.)"
"services"	"70.2% (2017 est.)"
"region"	"Cayman Islands"
"agriculture"	"0.3% (2017 est.)"
"industry"	"7.4% (2017 est.)"
"services"	"92.3% (2017 est.)"
"region"	"Central African Republic"
"agriculture"	"43.2% (2017 est.)"
"industry"	"16% (2017 est.)"
"services"	"40.8% (2017 est.)"
"region"	"Chad"
"agriculture"	"52.3% (2017 est.)"
"industry"	"14.7% (2017 est.)"
"services"	"33.1% (2017 est.)"
"region"	"Chile"
"agriculture"	"4.2% (2017 est.)"
"industry"	"32.8% (2017 est.)"
"services"	"63% (2017 est.)"
"region"	"China"
"agriculture"	"7.9% (2017 est.)"
"industry"	"40.5% (2017 est.)"
"services"	"51.6% (2017 est.)"
"region"	"Colombia"
"agriculture"	"7.2% (2017 est.)"
"industry"	"30.8% (2017 est.)"
"services"	"62.1% (2017 est.)"
"region"	"Comoros"
"agriculture"	"47.7% (2017 est.)"
"industry"	"11.8% (2017 est.)"
"services"	"40.5% (2017 est.)"
"region"	"Congo, Democratic Republic of the"
"agriculture"	"19.7% (2017 est.)"
"industry"	"43.6% (2017 est.)"
"services"	"36.7% (2017 est.)"
"region"	"Congo, Republic of the"
"agriculture"	"9.3% (2017 est.)"
"industry"	"51% (2017 est.)"
"services"	"39.7% (2017 est.)"
"region"	"Cook Islands"
"agriculture"	"5.1% (2010 est.)"
"industry"	"12.7% (2010 est.)"
"services"	"82.1% (2010 est.)"
"region"	"Costa Rica"
"agriculture"	"5.5% (2017 est.)"
"industry"	"20.6% (2017 est.)"
"services"	"73.9% (2017 est.)"
"region"	"Cote d'Ivoire"
"agriculture"	"20.1% (2017 est.)"
"industry"	"26.6% (2017 est.)"
"services"	"53.3% (2017 est.)"
"region"	"Croatia"
"agriculture"	"3.7% (2017 est.)"
"industry"	"26.2% (2017 est.)"
"services"	"70.1% (2017 est.)"
"region"	"Cuba"
"agriculture"	"4% (2017 est.)"
"industry"	"22.7% (2017 est.)"
"services"	"73.4% (2017 est.)"
"region"	"Curacao"
"agriculture"	"0.7% (2012 est.)"
"industry"	"15.5% (2012 est.)"
"services"	"83.8% (2012 est.)"
"region"	"Cyprus"
"agriculture"	"2% (2017 est.)"
"industry"	"12.5% (2017 est.)"
"services"	"85.5% (2017 est.)"
"region"	"Czechia"
"agriculture"	"2.3% (2017 est.)"
"industry"	"36.9% (2017 est.)"
"services"	"60.8% (2017 est.)"
"region"	"Denmark"
"agriculture"	"1.3% (2017 est.)"
"industry"	"22.9% (2017 est.)"
"services"	"75.8% (2017 est.)"
"region"	"Djibouti"
"agriculture"	"2.4% (2017 est.)"
"industry"	"17.3% (2017 est.)"
"services"	"80.2% (2017 est.)"
"region"	"Dominica"
"agriculture"	"22.3% (2017 est.)"
"industry"	"12.6% (2017 est.)"
"services"	"65.1% (2017 est.)"
"region"	"Dominican Republic"
"agriculture"	"5.6% (2017 est.)"
"industry"	"33% (2017 est.)"
"services"	"61.4% (2017 est.)"
"region"	"Ecuador"
"agriculture"	"6.7% (2017 est.)"
"industry"	"32.9% (2017 est.)"
"services"	"60.4% (2017 est.)"
"region"	"Egypt"
"agriculture"	"11.7% (2017 est.)"
"industry"	"34.3% (2017 est.)"
"services"	"54% (2017 est.)"
"region"	"El Salvador"
"agriculture"	"12% (2017 est.)"
"industry"	"27.7% (2017 est.)"
"services"	"60.3% (2017 est.)"
"region"	"Equatorial Guinea"
"agriculture"	"2.5% (2017 est.)"
"industry"	"54.6% (2017 est.)"
"services"	"42.9% (2017 est.)"
"region"	"Eritrea"
"agriculture"	"11.7% (2017 est.)"
"industry"	"29.6% (2017 est.)"
"services"	"58.7% (2017 est.)"
"region"	"Estonia"
"agriculture"	"2.8% (2017 est.)"
"industry"	"29.2% (2017 est.)"
"services"	"68.1% (2017 est.)"
"region"	"Eswatini"
"agriculture"	"6.5% (2017 est.)"
"industry"	"45% (2017 est.)"
"services"	"48.6% (2017 est.)"
"region"	"Ethiopia"
"agriculture"	"34.8% (2017 est.)"
"industry"	"21.6% (2017 est.)"
"services"	"43.6% (2017 est.)"
"region"	"European Union"
"agriculture"	"1.6% (2017 est.)"
"industry"	"25.1% (2017 est.)"
"services"	"70.9% (2017 est.)"
"region"	"Falkland Islands (Islas Malvinas)"
"agriculture"	"41% (2015 est.)"
"industry"	"20.6% (2015 est.)"
"services"	"38.4% (2015 est.)"
"region"	"Faroe Islands"
"agriculture"	"18% (2013 est.)"
"industry"	"39% (2013 est.)"
"services"	"43% (2013 est.)"
"region"	"Fiji"
"agriculture"	"13.5% (2017 est.)"
"industry"	"17.4% (2017 est.)"
"services"	"69.1% (2017 est.)"
"region"	"Finland"
"agriculture"	"2.7% (2017 est.)"
"industry"	"28.2% (2017 est.)"
"services"	"69.1% (2017 est.)"
"region"	"France"
"agriculture"	"1.7% (2017 est.)"
"industry"	"19.5% (2017 est.)"
"services"	"78.8% (2017 est.)"
"region"	"French Polynesia"
"agriculture"	"2.5% (2009)"
"industry"	"13% (2009)"
"services"	"84.5% (2009)"
"region"	"Gabon"
"agriculture"	"5% (2017 est.)"
"industry"	"44.7% (2017 est.)"
"services"	"50.4% (2017 est.)"
"region"	"Gambia, The"
"agriculture"	"20.4% (2017 est.)"
"industry"	"14.2% (2017 est.)"
"services"	"65.4% (2017 est.)"
"region"	"Gaza Strip"
"agriculture"	"3% (2017 est.)"
"industry"	"21.1% (2017 est.)"
"services"	"75% (2017 est.)"
"note"	"data exclude the West Bank"
"region"	"Georgia"
"agriculture"	"8.2% (2017 est.)"
"industry"	"23.7% (2017 est.)"
"services"	"67.9% (2017 est.)"
"region"	"Germany"
"agriculture"	"0.7% (2017 est.)"
"industry"	"30.7% (2017 est.)"
"services"	"68.6% (2017 est.)"
"region"	"Ghana"
"agriculture"	"18.3% (2017 est.)"
"industry"	"24.5% (2017 est.)"
"services"	"57.2% (2017 est.)"
"region"	"Gibraltar"
"agriculture"	"0% (2016 est.)"
"industry"	"0% (2008 est.)"
"services"	"100% (2016 est.)"
"region"	"Greece"
"agriculture"	"4.1% (2017 est.)"
"industry"	"16.9% (2017 est.)"
"services"	"79.1% (2017 est.)"
"region"	"Greenland"
"agriculture"	"15.9% (2015 est.)"
"industry"	"10.1% (2015 est.)"
"services"	"73.9% (2015)"
"region"	"Grenada"
"agriculture"	"6.8% (2017 est.)"
"industry"	"15.5% (2017 est.)"
"services"	"77.7% (2017 est.)"
"region"	"Guam"
"agriculture"	"NA"
"industry"	"NA"
"services"	"58.4% (2015 est.)"
"region"	"Guatemala"
"agriculture"	"13.3% (2017 est.)"
"industry"	"23.4% (2017 est.)"
"services"	"63.2% (2017 est.)"
"region"	"Guernsey"
"agriculture"	"3% (2000)"
"industry"	"10% (2000)"
"services"	"87% (2000)"
"region"	"Guinea"
"agriculture"	"19.8% (2017 est.)"
"industry"	"32.1% (2017 est.)"
"services"	"48.1% (2017 est.)"
"region"	"Guinea-Bissau"
"agriculture"	"50% (2017 est.)"
"industry"	"13.1% (2017 est.)"
"services"	"36.9% (2017 est.)"
"region"	"Guyana"
"agriculture"	"15.4% (2017 est.)"
"industry"	"15.3% (2017 est.)"
"services"	"69.3% (2017 est.)"
"region"	"Haiti"
"agriculture"	"22.1% (2017 est.)"
"industry"	"20.3% (2017 est.)"
"services"	"57.6% (2017 est.)"
"region"	"Honduras"
"agriculture"	"14.2% (2017 est.)"
"industry"	"28.8% (2017 est.)"
"services"	"57% (2017 est.)"
"region"	"Hong Kong"
"agriculture"	"0.1% (2017 est.)"
"industry"	"7.6% (2017 est.)"
"services"	"92.3% (2017 est.)"
"region"	"Hungary"
"agriculture"	"3.9% (2017 est.)"
"industry"	"31.3% (2017 est.)"
"services"	"64.8% (2017 est.)"
"region"	"Iceland"
"agriculture"	"5.8% (2017 est.)"
"industry"	"19.7% (2017 est.)"
"services"	"74.6% (2017 est.)"
"region"	"India"
"agriculture"	"15.4% (2016 est.)"
"industry"	"23% (2016 est.)"
"services"	"61.5% (2016 est.)"
"region"	"Indonesia"
"agriculture"	"13.7% (2017 est.)"
"industry"	"41% (2017 est.)"
"services"	"45.4% (2017 est.)"
"region"	"Iran"
"agriculture"	"9.6% (2016 est.)"
"industry"	"35.3% (2016 est.)"
"services"	"55% (2017 est.)"
"region"	"Iraq"
"agriculture"	"3.3% (2017 est.)"
"industry"	"51% (2017 est.)"
"services"	"45.8% (2017 est.)"
"region"	"Ireland"
"agriculture"	"1.2% (2017 est.)"
"industry"	"38.6% (2017 est.)"
"services"	"60.2% (2017 est.)"
"region"	"Isle of Man"
"agriculture"	"1% (FY12/13 est.)"
"industry"	"13% (FY12/13 est.)"
"services"	"86% (FY12/13 est.)"
"region"	"Israel"
"agriculture"	"2.4% (2017 est.)"
"industry"	"26.5% (2017 est.)"
"services"	"69.5% (2017 est.)"
"region"	"Italy"
"agriculture"	"2.1% (2017 est.)"
"industry"	"23.9% (2017 est.)"
"services"	"73.9% (2017 est.)"
"region"	"Jamaica"
"agriculture"	"7% (2017 est.)"
"industry"	"21.1% (2017 est.)"
"services"	"71.9% (2017 est.)"
"region"	"Japan"
"agriculture"	"1.1% (2017 est.)"
"industry"	"30.1% (2017 est.)"
"services"	"68.7% (2017 est.)"
"region"	"Jersey"
"agriculture"	"2% (2010)"
"industry"	"2% (2010)"
"services"	"96% (2010)"
"region"	"Jordan"
"agriculture"	"4.5% (2017 est.)"
"industry"	"28.8% (2017 est.)"
"services"	"66.6% (2017 est.)"
"region"	"Kazakhstan"
"agriculture"	"4.7% (2017 est.)"
"industry"	"34.1% (2017 est.)"
"services"	"61.2% (2017 est.)"
"region"	"Kenya"
"agriculture"	"34.5% (2017 est.)"
"industry"	"17.8% (2017 est.)"
"services"	"47.5% (2017 est.)"
"region"	"Kiribati"
"agriculture"	"23% (2016 est.)"
"industry"	"7% (2016 est.)"
"services"	"70% (2016 est.)"
"region"	"Korea, North"
"agriculture"	"22.5% (2017 est.)"
"industry"	"47.6% (2017 est.)"
"services"	"29.9% (2017 est.)"
"region"	"Korea, South"
"agriculture"	"2.2% (2017 est.)"
"industry"	"39.3% (2017 est.)"
"services"	"58.3% (2017 est.)"
"region"	"Kosovo"
"agriculture"	"11.9% (2017 est.)"
"industry"	"17.7% (2017 est.)"
"services"	"70.4% (2017 est.)"
"region"	"Kuwait"
"agriculture"	"0.4% (2017 est.)"
"industry"	"58.7% (2017 est.)"
"services"	"40.9% (2017 est.)"
"region"	"Kyrgyzstan"
"agriculture"	"14.6% (2017 est.)"
"industry"	"31.2% (2017 est.)"
"services"	"54.2% (2017 est.)"
"region"	"Laos"
"agriculture"	"20.9% (2017 est.)"
"industry"	"33.2% (2017 est.)"
"services"	"45.9% (2017 est.)"
"region"	"Latvia"
"agriculture"	"3.9% (2017 est.)"
"industry"	"22.4% (2017 est.)"
"services"	"73.7% (2017 est.)"
"region"	"Lebanon"
"agriculture"	"3.9% (2017 est.)"
"industry"	"13.1% (2017 est.)"
"services"	"83% (2017 est.)"
"region"	"Lesotho"
"agriculture"	"5.8% (2016 est.)"
"industry"	"39.2% (2016 est.)"
"services"	"54.9% (2017 est.)"
"region"	"Liberia"
"agriculture"	"34% (2017 est.)"
"industry"	"13.8% (2017 est.)"
"services"	"52.2% (2017 est.)"
"region"	"Libya"
"agriculture"	"1.3% (2017 est.)"
"industry"	"52.3% (2017 est.)"
"services"	"46.4% (2017 est.)"
"region"	"Liechtenstein"
"agriculture"	"7% (2014)"
"industry"	"41% (2014)"
"services"	"52% (2014)"
"region"	"Lithuania"
"agriculture"	"3.5% (2017 est.)"
"industry"	"29.4% (2017 est.)"
"services"	"67.2% (2017 est.)"
"region"	"Luxembourg"
"agriculture"	"0.3% (2017 est.)"
"industry"	"12.8% (2017 est.)"
"services"	"86.9% (2017 est.)"
"region"	"Macau"
"agriculture"	"0% (2016 est.)"
"industry"	"6.3% (2017 est.)"
"services"	"93.7% (2017 est.)"
"region"	"Madagascar"
"agriculture"	"24% (2017 est.)"
"industry"	"19.5% (2017 est.)"
"services"	"56.4% (2017 est.)"
"region"	"Malawi"
"agriculture"	"28.6% (2017 est.)"
"industry"	"15.4% (2017 est.)"
"services"	"56% (2017 est.)"
"region"	"Malaysia"
"agriculture"	"8.8% (2017 est.)"
"industry"	"37.6% (2017 est.)"
"services"	"53.6% (2017 est.)"
"region"	"Maldives"
"agriculture"	"3% (2015 est.)"
"industry"	"16% (2015 est.)"
"services"	"81% (2015 est.)"
"region"	"Mali"
"agriculture"	"41.8% (2017 est.)"
"industry"	"18.1% (2017 est.)"
"services"	"40.5% (2017 est.)"
"region"	"Malta"
"agriculture"	"1.1% (2017 est.)"
"industry"	"10.2% (2017 est.)"
"services"	"88.7% (2017 est.)"
"region"	"Marshall Islands"
"agriculture"	"4.4% (2013 est.)"
"industry"	"9.9% (2013 est.)"
"services"	"85.7% (2013 est.)"
"region"	"Mauritania"
"agriculture"	"27.8% (2017 est.)"
"industry"	"29.3% (2017 est.)"
"services"	"42.9% (2017 est.)"
"region"	"Mauritius"
"agriculture"	"4% (2017 est.)"
"industry"	"21.8% (2017 est.)"
"services"	"74.1% (2017 est.)"
"region"	"Mexico"
"agriculture"	"3.6% (2017 est.)"
"industry"	"31.9% (2017 est.)"
"services"	"64.5% (2017 est.)"
"region"	"Micronesia, Federated States of"
"agriculture"	"26.3% (2013 est.)"
"industry"	"18.9% (2013 est.)"
"services"	"54.8% (2013 est.)"
"region"	"Moldova"
"agriculture"	"17.7% (2017 est.)"
"industry"	"20.3% (2017 est.)"
"services"	"62% (2017 est.)"
"region"	"Monaco"
"agriculture"	"0% (2013)"
"industry"	"14% (2013)"
"services"	"86% (2013)"
"region"	"Mongolia"
"agriculture"	"12.1% (2017 est.)"
"industry"	"38.2% (2017 est.)"
"services"	"49.7% (2017 est.)"
"region"	"Montenegro"
"agriculture"	"7.5% (2016 est.)"
"industry"	"15.9% (2016 est.)"
"services"	"76.6% (2016 est.)"
"region"	"Montserrat"
"agriculture"	"1.9% (2017 est.)"
"industry"	"7.8% (2017 est.)"
"services"	"90.3% (2017 est.)"
"region"	"Morocco"
"agriculture"	"14% (2017 est.)"
"industry"	"29.5% (2017 est.)"
"services"	"56.5% (2017 est.)"
"region"	"Mozambique"
"agriculture"	"23.9% (2017 est.)"
"industry"	"19.3% (2017 est.)"
"services"	"56.8% (2017 est.)"
"region"	"Namibia"
"agriculture"	"6.7% (2016 est.)"
"industry"	"26.3% (2016 est.)"
"services"	"67% (2017 est.)"
"region"	"Nauru"
"agriculture"	"6.1% (2009 est.)"
"industry"	"33% (2009 est.)"
"services"	"60.8% (2009 est.)"
"region"	"Nepal"
"agriculture"	"27% (2017 est.)"
"industry"	"13.5% (2017 est.)"
"services"	"59.5% (2017 est.)"
"region"	"Netherlands"
"agriculture"	"1.6% (2017 est.)"
"industry"	"17.9% (2017 est.)"
"services"	"70.2% (2017 est.)"
"region"	"New Caledonia"
"agriculture"	"1.4% (2017 est.)"
"industry"	"26.4% (2017 est.)"
"services"	"72.1% (2017 est.)"
"region"	"New Zealand"
"agriculture"	"5.7% (2017 est.)"
"industry"	"21.5% (2017 est.)"
"services"	"72.8% (2017 est.)"
"region"	"Nicaragua"
"agriculture"	"15.5% (2017 est.)"
"industry"	"24.4% (2017 est.)"
"services"	"60% (2017 est.)"
"region"	"Niger"
"agriculture"	"41.6% (2017 est.)"
"industry"	"19.5% (2017 est.)"
"services"	"38.7% (2017 est.)"
"region"	"Nigeria"
"agriculture"	"21.1% (2016 est.)"
"industry"	"22.5% (2016 est.)"
"services"	"56.4% (2017 est.)"
"region"	"Niue"
"agriculture"	"23.5% (2003)"
"industry"	"26.9% (2003)"
"services"	"49.5% (2003)"
"region"	"North Macedonia"
"agriculture"	"10.9% (2017 est.)"
"industry"	"26.6% (2017 est.)"
"services"	"62.5% (2017 est.)"
"region"	"Northern Mariana Islands"
"agriculture"	"1.7% (2016)"
"industry"	"58.1% (2016 est.)"
"services"	"40.2% (2016)"
"region"	"Norway"
"agriculture"	"2.3% (2017 est.)"
"industry"	"33.7% (2017 est.)"
"services"	"64% (2017 est.)"
"region"	"Oman"
"agriculture"	"1.8% (2017 est.)"
"industry"	"46.4% (2017 est.)"
"services"	"51.8% (2017 est.)"
"region"	"Pakistan"
"agriculture"	"24.4% (2016 est.)"
"industry"	"19.1% (2016 est.)"
"services"	"56.5% (2017 est.)"
"region"	"Palau"
"agriculture"	"3% (2016 est.)"
"industry"	"19% (2016 est.)"
"services"	"78% (2016 est.)"
"region"	"Panama"
"agriculture"	"2.4% (2017 est.)"
"industry"	"15.7% (2017 est.)"
"services"	"82% (2017 est.)"
"region"	"Papua New Guinea"
"agriculture"	"22.1% (2017 est.)"
"industry"	"42.9% (2017 est.)"
"services"	"35% (2017 est.)"
"region"	"Paraguay"
"agriculture"	"17.9% (2017 est.)"
"industry"	"27.7% (2017 est.)"
"services"	"54.5% (2017 est.)"
"region"	"Peru"
"agriculture"	"7.6% (2017 est.)"
"industry"	"32.7% (2017 est.)"
"services"	"59.9% (2017 est.)"
"region"	"Philippines"
"agriculture"	"9.6% (2017 est.)"
"industry"	"30.6% (2017 est.)"
"services"	"59.8% (2017 est.)"
"region"	"Poland"
"agriculture"	"2.4% (2017 est.)"
"industry"	"40.2% (2017 est.)"
"services"	"57.4% (2017 est.)"
"region"	"Portugal"
"agriculture"	"2.2% (2017 est.)"
"industry"	"22.1% (2017 est.)"
"services"	"75.7% (2017 est.)"
"region"	"Puerto Rico"
"agriculture"	"0.8% (2017 est.)"
"industry"	"50.1% (2017 est.)"
"services"	"49.1% (2017 est.)"
"region"	"Qatar"
"agriculture"	"0.2% (2017 est.)"
"industry"	"50.3% (2017 est.)"
"services"	"49.5% (2017 est.)"
"region"	"Romania"
"agriculture"	"4.2% (2017 est.)"
"industry"	"33.2% (2017 est.)"
"services"	"62.6% (2017 est.)"
"region"	"Russia"
"agriculture"	"4.7% (2017 est.)"
"industry"	"32.4% (2017 est.)"
"services"	"62.3% (2017 est.)"
"region"	"Rwanda"
"agriculture"	"30.9% (2017 est.)"
"industry"	"17.6% (2017 est.)"
"services"	"51.5% (2017 est.)"
"region"	"Saint Helena, Ascension, and Tristan da Cunha"
"agriculture"	"NA"
"industry"	"NA"
"services"	"NA"
"region"	"Saint Kitts and Nevis"
"agriculture"	"1.1% (2017 est.)"
"industry"	"30% (2017 est.)"
"services"	"68.9% (2017 est.)"
"region"	"Saint Lucia"
"agriculture"	"2.9% (2017 est.)"
"industry"	"14.2% (2017 est.)"
"services"	"82.8% (2017 est.)"
"region"	"Saint Martin"
"agriculture"	"1% (2000)"
"industry"	"15% (2000)"
"services"	"84% (2000)"
"region"	"Saint Pierre and Miquelon"
"agriculture"	"2% (2006 est.)"
"industry"	"15% (2006 est.)"
"services"	"83% (2006 est.)"
"region"	"Saint Vincent and the Grenadines"
"agriculture"	"7.1% (2017 est.)"
"industry"	"17.4% (2017 est.)"
"services"	"75.5% (2017 est.)"
"region"	"Samoa"
"agriculture"	"10.4% (2017 est.)"
"industry"	"23.6% (2017 est.)"
"services"	"66% (2017 est.)"
"region"	"San Marino"
"agriculture"	"0.1% (2009)"
"industry"	"39.2% (2009)"
"services"	"60.7% (2009)"
"region"	"Sao Tome and Principe"
"agriculture"	"11.8% (2017 est.)"
"industry"	"14.8% (2017 est.)"
"services"	"73.4% (2017 est.)"
"region"	"Saudi Arabia"
"agriculture"	"2.6% (2017 est.)"
"industry"	"44.2% (2017 est.)"
"services"	"53.2% (2017 est.)"
"region"	"Senegal"
"agriculture"	"16.9% (2017 est.)"
"industry"	"24.3% (2017 est.)"
"services"	"58.8% (2017 est.)"
"region"	"Serbia"
"agriculture"	"9.8% (2017 est.)"
"industry"	"41.1% (2017 est.)"
"services"	"49.1% (2017 est.)"
"region"	"Seychelles"
"agriculture"	"2.5% (2017 est.)"
"industry"	"13.8% (2017 est.)"
"services"	"83.7% (2017 est.)"
"region"	"Sierra Leone"
"agriculture"	"60.7% (2017 est.)"
"industry"	"6.5% (2017 est.)"
"services"	"32.9% (2017 est.)"
"region"	"Singapore"
"agriculture"	"0% (2017 est.)"
"industry"	"24.8% (2017 est.)"
"services"	"75.2% (2017 est.)"
"region"	"Sint Maarten"
"agriculture"	"0.4% (2008 est.)"
"industry"	"18.3% (2008 est.)"
"services"	"81.3% (2008 est.)"
"region"	"Slovakia"
"agriculture"	"3.8% (2017 est.)"
"industry"	"35% (2017 est.)"
"services"	"61.2% (2017 est.)"
"region"	"Slovenia"
"agriculture"	"1.8% (2017 est.)"
"industry"	"32.2% (2017 est.)"
"services"	"65.9% (2017 est.)"
"region"	"Solomon Islands"
"agriculture"	"34.3% (2017 est.)"
"industry"	"7.6% (2017 est.)"
"services"	"58.1% (2017 est.)"
"region"	"Somalia"
"agriculture"	"60.2% (2013 est.)"
"industry"	"7.4% (2013 est.)"
"services"	"32.5% (2013 est.)"
"region"	"South Africa"
"agriculture"	"2.8% (2017 est.)"
"industry"	"29.7% (2017 est.)"
"services"	"67.5% (2017 est.)"
"region"	"Spain"
"agriculture"	"2.6% (2017 est.)"
"industry"	"23.2% (2017 est.)"
"services"	"74.2% (2017 est.)"
"region"	"Sri Lanka"
"agriculture"	"7.8% (2017 est.)"
"industry"	"30.5% (2017 est.)"
"services"	"61.7% (2017 est.)"
"region"	"Sudan"
"agriculture"	"39.6% (2017 est.)"
"industry"	"2.6% (2017 est.)"
"services"	"57.8% (2017 est.)"
"region"	"Suriname"
"agriculture"	"11.6% (2017 est.)"
"industry"	"31.1% (2017 est.)"
"services"	"57.4% (2017 est.)"
"region"	"Sweden"
"agriculture"	"1.6% (2017 est.)"
"industry"	"33% (2017 est.)"
"services"	"65.4% (2017 est.)"
"region"	"Switzerland"
"agriculture"	"0.7% (2017 est.)"
"industry"	"25.6% (2017 est.)"
"services"	"73.7% (2017 est.)"
"region"	"Syria"
"agriculture"	"20% (2017 est.)"
"industry"	"19.5% (2017 est.)"
"services"	"60.8% (2017 est.)"
"region"	"Taiwan"
"agriculture"	"1.8% (2017 est.)"
"industry"	"36% (2017 est.)"
"services"	"62.1% (2017 est.)"
"region"	"Tajikistan"
"agriculture"	"28.6% (2017 est.)"
"industry"	"25.5% (2017 est.)"
"services"	"45.9% (2017 est.)"
"region"	"Tanzania"
"agriculture"	"23.4% (2017 est.)"
"industry"	"28.6% (2017 est.)"
"services"	"47.6% (2017 est.)"
"region"	"Thailand"
"agriculture"	"8.2% (2017 est.)"
"industry"	"36.2% (2017 est.)"
"services"	"55.6% (2017 est.)"
"region"	"Timor-Leste"
